SYMBOL,NAME OF COMPANY,SECTOR
AGARIND,Agarwal Industrial Corporation Limited,Materials
AGARWALEYE,Dr. Agarwal's Health Care Limited,Healthcare
AGI,AGI Greenpac Limited,Industrials
AGIIL,Agi Infra Limited,RealEstate
AGRITECH,Agri-Tech (India) Limited,Technology
AGROPHOS,Agro Phos India Limited,Consumer Goods
AGSTRA,AGS Transact Technologies Limited,Technology
AHL,Abans Holdings Limited,Materials
AHLADA,Ahlada Engineers Limited,Healthcare
AHLEAST,Asian Hotels (East) Limited,Consumer Goods
AHLUCONT,Ahluwalia Contracts (India) Limited,Consumer Goods
AIAENG,AIA Engineering Limited,Materials
AIIL,Authum Investment & Infrastructure Limited,RealEstate
AIRAN,Airan Limited,Consumer Goods
AIROLAM,Airo Lam limited,Utilities
AJANTPHARM,Ajanta Pharma Limited,Healthcare
AJAXENGG,Ajax Engineering Limited,Healthcare
AJMERA,Ajmera Realty & Infra India Limited,RealEstate
AJOONI,Ajooni Biotech Limited,Technology
AKASH,Akash Infra-Projects Limited,RealEstate
AKG,Akg Exim Limited,RealEstate
AKI,AKI India Limited,Materials
AKSHAR,Akshar Spintex Limited,Utilities
AKSHARCHEM,AksharChem India Limited,Materials
AKSHOPTFBR,Aksh Optifibre Limited,RealEstate
AKUMS,Akums Drugs and Pharmaceuticals Limited,Healthcare
AKZOINDIA,Akzo Nobel India Limited,Financial Services
ALANKIT,Alankit Limited,Technology
ALBERTDAVD,Albert David Limited,Industrials
ALEMBICLTD,Alembic Limited,Industrials
ALICON,Alicon Castalloy Limited,Industrials
ALIVUS,Alivus Life Sciences Limited,Industrials
ALKALI,Alkali Metals Limited,Industrials
ALKEM,Alkem Laboratories Limited,Utilities
ALKYLAMINE,Alkyl Amines Chemicals Limited,Healthcare
ALLCARGO,Allcargo Logistics Limited,Consumer Goods
ALLDIGI,Alldigi Tech Limited,Technology
ALMONDZ,Almondz Global Securities Limited,Utilities
ALOKINDS,Alok Industries Limited,Financial Services
ALPA,Alpa Laboratories Limited,Consumer Goods
ALPHAGEO,Alphageo (India) Limited,RealEstate
ALPSINDUS,Alps Industries Limited,Technology
AMBER,Amber Enterprises India Limited,Healthcare
AMBICAAGAR,Ambica Agarbathies & Aroma industries Limited,Telecommunications
AMBIKCO,Ambika Cotton Mills Limited,Consumer Goods
AMBUJACEM,Ambuja Cements Limited,RealEstate
AMDIND,AMD Industries Limited,Consumer Goods
AMIORG,Ami Organics Limited,Consumer Goods
AMJLAND,Amj Land Holdings Limited,Energy
AMNPLST,Amines & Plasticizers Limited,Materials
AMRUTANJAN,Amrutanjan Health Care Limited,Healthcare
ANANDRATHI,Anand Rathi Wealth Limited,Financial Services
ANANTRAJ,Anant Raj Limited,Technology
ANDHRAPAP,ANDHRA PAPER LIMITED,Financial Services
ANDHRSUGAR,The Andhra Sugars Limited,Utilities
ANGELONE,Angel One Limited,Consumer Goods
ANIKINDS,Anik Industries Limited,Energy
ANMOL,Anmol India Limited,Industrials
ANSALAPI,Ansal Properties & Infrastructure Limited,RealEstate
ANTGRAPHIC,Antarctica Limited,Consumer Goods
ANUHPHR,Anuh Pharma Limited,Healthcare
ANUP,The Anup Engineering Limited,Utilities
ANURAS,Anupam Rasayan India Limited,Industrials
APARINDS,Apar Industries Limited,Materials
APCL,Anjani Portland Cement Limited,RealEstate
APCOTEXIND,Apcotex Industries Limited,Healthcare
APEX,Apex Frozen Foods Limited,Consumer Goods
APLAPOLLO,APL Apollo Tubes Limited,Industrials
APLLTD,Alembic Pharmaceuticals Limited,Healthcare
APOLLO,Apollo Micro Systems Limited,Technology
APOLLOHOSP,Apollo Hospitals Enterprise Limited,Healthcare
APOLLOPIPE,Apollo Pipes Limited,Utilities
APOLLOTYRE,Apollo Tyres Limited,RealEstate
APOLSINHOT,Apollo Sindoori Hotels Limited,Consumer Goods
APTECHT,Aptech Limited,Technology
APTUS,Aptus Value Housing Finance India Limited,Financial Services
ARCHIDPLY,Archidply Industries Limited,Industrials
ARCHIES,Archies Limited,Technology
ARE&M,Amara Raja Energy & Mobility Limited,Energy
ARENTERP,Rajdarshan Industries Limited,Energy
ARIES,Aries Agro Limited,Energy
ARIHANTCAP,Arihant Capital Markets Limited,Financial Services
ARIHANTSUP,Arihant Superstructures Limited,Industrials
ARKADE,Arkade Developers Limited,Industrials
ARMANFIN,Arman Financial Services Limited,Financial Services
AROGRANITE,Aro Granite Industries Limited,Materials
ARROWGREEN,Arrow Greentech Limited,Technology
ARTEMISMED,Artemis Medicare Services Limited,Consumer Goods
ARTNIRMAN,Art Nirman Limited,RealEstate
ARVEE,Arvee Laboratories (India) Limited,Telecommunications
ARVIND,Arvind Limited,Telecommunications
ARVINDFASN,Arvind Fashions Limited,Consumer Goods
ARVSMART,Arvind SmartSpaces Limited,Technology
ASAHIINDIA,Asahi India Glass Limited,Materials
ASAHISONG,Asahi Songwon Colors Limited,Financial Services
ASAL,Automotive Stampings and Assemblies Limited,Materials
ASALCBR,Associated Alcohols & Breweries Ltd.,Utilities
ASHAPURMIN,Ashapura Minechem Limited,Materials
ASHIANA,Ashiana Housing Limited,RealEstate
ASHIMASYN,Ashima Limited,Energy
ASHOKA,Ashoka Buildcon Limited,RealEstate
ASHOKAMET,Ashoka Metcast Limited,Utilities
ASHOKLEY,Ashok Leyland Limited,Healthcare
ASIANENE,Asian Energy Services Limited,Energy
ASIANHOTNR,Asian Hotels (North) Limited,Consumer Goods
ASIANPAINT,Asian Paints Limited,Consumer Goods
ASIANTILES,Asian Granito India Limited,Industrials
ASKAUTOLTD,ASK Automotive Limited,Energy
ASMS,Bartronics India Limited,Industrials
ASPINWALL,Aspinwall and Company Limited,Telecommunications
ASTEC,Astec LifeSciences Limited,Telecommunications
ASTERDM,Aster DM Healthcare Limited,Healthcare
ASTRAL,Astral Limited,Consumer Goods
ASTRAMICRO,Astra Microwave Products Limited,Materials
ASTRAZEN,AstraZeneca Pharma India Limited,Healthcare
ASTRON,Astron Paper & Board Mill Limited,Healthcare
ATALREAL,Atal Realtech Limited,Technology
ATAM,Atam Valves Limited,Technology
ATFL,Agro Tech Foods Limited,Technology
ATGL,Adani Total Gas Limited,Energy
ATL,Allcargo Terminals Limited,Telecommunications
ATLANTAA,ATLANTAA LIMITED,Consumer Goods
ATLASCYCLE,Atlas Cycles (Haryana) Limited,Telecommunications
ATUL,Atul Limited,RealEstate
ATULAUTO,Atul Auto Limited,Consumer Goods
AUBANK,AU Small Finance Bank Limited,Financial Services
AURIONPRO,Aurionpro Solutions Limited,Technology
AUROPHARMA,Aurobindo Pharma Limited,Healthcare
AURUM,Aurum PropTech Limited,Technology
AUSOMENT,Ausom Enterprise Limited,Energy
AUTOAXLES,Automotive Axles Limited,Materials
AUTOIND,Autoline Industries Limited,Technology
AVADHSUGAR,Avadh Sugar & Energy Limited,Energy
AVALON,Avalon Technologies Limited,Technology
AVANTEL,Avantel Limited,Technology
AVANTIFEED,Avanti Feeds Limited,Healthcare
AVG,AVG Logistics Limited,Industrials
AVL,Aditya Vision Limited,Energy
AVONMORE,Avonmore Capital & Management Services Limited,Financial Services
AVROIND,AVRO INDIA LIMITED,Healthcare
AVTNPL,AVT Natural Products Limited,Energy
AWFIS,Awfis Space Solutions Limited,Technology
AWHCL,Antony Waste Handling Cell Limited,Utilities
AWL,Adani Wilmar Limited,Financial Services
AXISBANK,Axis Bank Limited,Financial Services
AXISCADES,AXISCADES Technologies Limited,Technology
AXITA,Axita Cotton Limited,Technology
AYMSYNTEX,AYM Syntex Limited,Materials
AZAD,Azad Engineering Limited,RealEstate
BAFNAPH,Bafna Pharmaceuticals Limited,Healthcare
BAGFILMS,B.A.G Films and Media Limited,Energy
BAIDFIN,Baid Finserv Limited,Financial Services
BAJAJ-AUTO,Bajaj Auto Limited,Financial Services
BAJAJCON,Bajaj Consumer Care Limited,Consumer Goods
BAJAJELEC,Bajaj Electricals Limited,Utilities
BAJAJFINSV,Bajaj Finserv Limited,Financial Services
BAJAJHCARE,Bajaj Healthcare Limited,Healthcare
BAJAJHFL,Bajaj Housing Finance Limited,Financial Services
BAJAJHIND,Bajaj Hindusthan Sugar Limited,Technology
BAJAJHLDNG,Bajaj Holdings & Investment Limited,Materials
BAJAJINDEF,Indef Manufacturing Limited,RealEstate
BAJEL,Bajel Projects Limited,Industrials
BAJFINANCE,Bajaj Finance Limited,Financial Services
BALAJEE,Shree Tirupati Balajee Agro Trading Company Limited,Financial Services
BALAJITELE,Balaji Telefilms Limited,Telecommunications
BALAMINES,Balaji Amines Limited,Consumer Goods
BALAXI,BALAXI PHARMACEUTICALS LIMITED,Healthcare
BALKRISHNA,Balkrishna Paper Mills Limited,Materials
BALKRISIND,Balkrishna Industries Limited,RealEstate
BALMLAWRIE,Balmer Lawrie & Company Limited,Financial Services
BALPHARMA,Bal Pharma Limited,Healthcare
BALRAMCHIN,Balrampur Chini Mills Limited,Consumer Goods
BALUFORGE,Balu Forge Industries Limited,Utilities
BANARBEADS,Banaras Beads Limited,Industrials
BANARISUG,Bannari Amman Sugars Limited,Consumer Goods
BANCOINDIA,Banco Products (I) Limited,Materials
BANDHANBNK,Bandhan Bank Limited,Financial Services
BANG,Bang Overseas Limited,Consumer Goods
BANKA,Banka BioLoo Limited,Financial Services
BANKBARODA,Bank of Baroda,Financial Services
BANKINDIA,Bank of India,Financial Services
BANSALWIRE,Bansal Wire Industries Limited,Financial Services
BANSWRAS,Banswara Syntex Limited,Industrials
BARBEQUE,Barbeque Nation Hospitality Limited,Healthcare
BASF,BASF India Limited,Telecommunications
BASML,Bannari Amman Spinning Mills Limited,Industrials
BATAINDIA,Bata India Limited,Healthcare
BAYERCROP,Bayer Cropscience Limited,Energy
BBL,Bharat Bijlee Limited,Financial Services
BBOX,Black Box Limited,Healthcare
BBTC,Bombay Burmah Trading Corporation Limited,Telecommunications
BBTCL,B&B Triplewall Containers Limited,Utilities
BCLIND,Bcl Industries Limited,Technology
BCONCEPTS,Brand Concepts Limited,Materials
BDL,Bharat Dynamics Limited,Energy
BEARDSELL,Beardsell Limited,Telecommunications
BECTORFOOD,Mrs. Bectors Food Specialities Limited,Consumer Goods
BEDMUTHA,Bedmutha Industries Limited,Financial Services
BEL,Bharat Electronics Limited,Technology
BEML,BEML Limited,Consumer Goods
BEPL,Bhansali Engineering Polymers Limited,Industrials
BERGEPAINT,Berger Paints (I) Limited,Energy
BESTAGRO,Best Agrolife Limited,Healthcare
BFINVEST,BF Investment Limited,Industrials
BFUTILITIE,BF Utilities Limited,Industrials
BGRENERGY,BGR Energy Systems Limited,Technology
BHAGCHEM,Bhagiradha Chemicals & Industries Limited,Technology
BHAGERIA,Bhageria Industries Limited,Technology
BHAGYANGR,Bhagyanagar India Limited,Healthcare
BHANDARI,Bhandari Hosiery Exports Limited,RealEstate
BHARATFORG,Bharat Forge Limited,Technology
BHARATGEAR,Bharat Gears Limited,Energy
BHARATRAS,Bharat Rasayan Limited,Materials
BHARATSE,Bharat Seats Limited,Energy
BHARATWIRE,Bharat Wire Ropes Limited,Energy
BHARTIARTL,Bharti Airtel Limited,RealEstate
BHARTIHEXA,Bharti Hexacom Limited,Financial Services
BHEL,Bharat Heavy Electricals Limited,Technology
BIGBLOC,Bigbloc Construction Limited,RealEstate
BIKAJI,Bikaji Foods International Limited,Consumer Goods
BIL,Bhartiya International Limited,Consumer Goods
BINANIIND,Binani Industries Limited,Energy
BIOCON,Biocon Limited,Healthcare
BIOFILCHEM,Biofil Chemicals & Pharmaceuticals Limited,Healthcare
BIRLACABLE,Birla Cable Limited,Healthcare
BIRLACORPN,Birla Corporation Limited,Healthcare
BIRLAMONEY,Aditya Birla Money Limited,Utilities
BLACKBUCK,Zinka Logistics Solutions Limited,Technology
BLAL,BEML Land Assets Limited,Industrials
BLBLIMITED,BLB Limited,Utilities
BLISSGVS,Bliss GVS Pharma Limited,Healthcare
BLKASHYAP,B. L. Kashyap and Sons Limited,Materials
BLS,BLS International Services Limited,Financial Services
BLSE,BLS E-Services Limited,Consumer Goods
BLUECHIP,Blue Chip India Limited,Healthcare
BLUECOAST,Blue Coast Hotels Limited,Consumer Goods
BLUEDART,Blue Dart Express Limited,Healthcare
BLUEJET,Blue Jet Healthcare Limited,Healthcare
BLUESTARCO,Blue Star Limited,Energy
BODALCHEM,Bodal Chemicals Limited,Industrials
BOHRAIND,Bohra Industries Limited,Technology
BOMDYEING,Bombay Dyeing & Mfg Company Limited,Utilities
BOROLTD,Borosil Limited,Telecommunications
BORORENEW,BOROSIL RENEWABLES LIMITED,Financial Services
BOROSCI,Borosil Scientific Limited,Industrials
BOSCHLTD,Bosch Limited,Energy
BPCL,Bharat Petroleum Corporation Limited,Energy
BPL,BPL Limited,RealEstate
BRIGADE,Brigade Enterprises Limited,Financial Services
BRITANNIA,Britannia Industries Limited,Healthcare
BRNL,Bharat Road Network Limited,RealEstate
BROOKS,Brooks Laboratories Limited,Utilities
BSE,BSE Limited,Materials
BSHSL,Bombay Super Hybrid Seeds Limited,Materials
BSL,BSL Limited,Healthcare
BSOFT,BIRLASOFT LIMITED,Energy
BTML,Bodhi Tree Multimedia Limited,Energy
BUTTERFLY,Butterfly Gandhimathi Appliances Limited,Telecommunications
BVCL,Barak Valley Cements Limited,RealEstate
BYKE,The Byke Hospitality Ltd,Healthcare
CALSOFT,California Software Company Limited,Technology
CAMLINFINE,Camlin Fine Sciences Limited,Utilities
CAMPUS,Campus Activewear Limited,Technology
CAMS,Computer Age Management Services Limited,Technology
CANBK,Canara Bank,Financial Services
CANFINHOME,Can Fin Homes Limited,Financial Services
CANTABIL,Cantabil Retail India Limited,Consumer Goods
CAPACITE,Capacit'e Infraprojects Limited,RealEstate
CAPITALSFB,Capital Small Finance Bank Limited,Financial Services
CAPLIPOINT,Caplin Point Laboratories Limited,Materials
CAPTRUST,Capital Trust Limited,Financial Services
CARBORUNIV,Carborundum Universal Limited,Energy
CARERATING,CARE Ratings Limited,Materials
CARRARO,Carraro India Limited,Materials
CARTRADE,Cartrade Tech Limited,Technology
CARYSIL,CARYSIL LIMITED,Industrials
CASTROLIND,Castrol India Limited,Telecommunications
CCCL,Consolidated Construction Consortium Limited,RealEstate
CCHHL,Country Club Hospitality & Holidays Limited,Healthcare
CCL,CCL Products (India) Limited,Financial Services
CDSL,Central Depository Services (India) Limited,Technology
CEATLTD,CEAT Limited,Industrials
CEIGALL,Ceigall India Limited,Financial Services
CELEBRITY,Celebrity Fashions Limited,Consumer Goods
CELLO,Cello World Limited,Utilities
CENTENKA,Century Enka Limited,Utilities
CENTEXT,Century Extrusions Limited,Materials
CENTRALBK,Central Bank of India,Financial Services
CENTRUM,Centrum Capital Limited,Financial Services
CENTUM,Centum Electronics Limited,Technology
CENTURYPLY,Century Plyboards (India) Limited,Financial Services
CERA,Cera Sanitaryware Limited,Utilities
CEREBRAINT,Cerebra Integrated Technologies Limited,Technology
CESC,CESC Limited,Energy
CEWATER,Concord Enviro Systems Limited,Technology
CGCL,Capri Global Capital Limited,Financial Services
CGPOWER,CG Power and Industrial Solutions Limited,Technology
CHALET,Chalet Hotels Limited,Consumer Goods
CHAMBLFERT,Chambal Fertilizers & Chemicals Limited,Telecommunications
CHEMBOND,Chembond Chemicals Ltd,Materials
CHEMCON,Chemcon Speciality Chemicals Limited,Utilities
CHEMFAB,Chemfab Alkalis Limited,Materials
CHEMPLASTS,Chemplast Sanmar Limited,Telecommunications
CHENNPETRO,Chennai Petroleum Corporation Limited,Energy
CHEVIOT,Cheviot Company Limited,Technology
CHOICEIN,Choice International Limited,Telecommunications
CHOLAFIN,Cholamandalam Investment and Finance Company Limited,Financial Services
CHOLAHLDNG,Cholamandalam Financial Holdings Limited,Financial Services
CIEINDIA,CIE Automotive India Limited,Healthcare
CIGNITITEC,Cigniti Technologies Limited,Technology
CINELINE,Cineline India Limited,Energy
CINEVISTA,Cinevista Limited,Telecommunications
CIPLA,Cipla Limited,Energy
CLEAN,Clean Science and Technology Limited,Technology
CLEDUCATE,CL Educate Limited,Telecommunications
CLSEL,Chaman Lal Setia Exports Limited,Industrials
CMSINFO,CMS Info Systems Limited,Technology
COALINDIA,Coal India Limited,Energy
COASTCORP,Coastal Corporation Limited,Energy
COCHINSHIP,Cochin Shipyard Limited,Consumer Goods
COFFEEDAY,Coffee Day Enterprises Limited,Healthcare
COFORGE,Coforge Limited,Healthcare
COLPAL,Colgate Palmolive (India) Limited,Industrials
COMPINFO,Compuage Infocom Limited,Technology
COMPUSOFT,Compucom Software Limited,Technology
COMSYN,Commercial Syn Bags Limited,Technology
CONCOR,Container Corporation of India Limited,Energy
CONCORDBIO,Concord Biotech Limited,Technology
CONFIPET,Confidence Petroleum India Limited,Energy
CONSOFINVT,Consolidated Finvest & Holdings Limited,Telecommunications
CONTROLPR,Control Print Limited,RealEstate
CORALFINAC,Coral India Finance & Housing Limited,Financial Services
CORDSCABLE,Cords Cable Industries Limited,Utilities
COROMANDEL,Coromandel International Limited,Energy
COSMOFIRST,COSMO FIRST LIMITED,Utilities
COUNCODOS,Country Condo's Limited,Financial Services
CPCAP,CP Capital Limited,Financial Services
CRAFTSMAN,Craftsman Automation Limited,Telecommunications
CREATIVE,Creative Newtech Limited,Technology
CREATIVEYE,Creative Eye Limited,Energy
CREDITACC,CREDITACCESS GRAMEEN LIMITED,Financial Services
CREST,Crest Ventures Limited,Telecommunications
CRISIL,CRISIL Limited,Telecommunications
CROMPTON,Crompton Greaves Consumer Electricals Limited,Consumer Goods
CROWN,Crown Lifters Limited,Industrials
CSBBANK,CSB Bank Limited,Financial Services
CSLFINANCE,CSL Finance Limited,Financial Services
CTE,Cambridge Technology Enterprises Limited,Technology
CUB,City Union Bank Limited,Financial Services
CUBEXTUB,Cubex Tubings Limited,Materials
CUMMINSIND,Cummins India Limited,Materials
CUPID,Cupid Limited,Materials
CURAA,Cura Technologies Limited,Technology
CYBERMEDIA,Cyber Media (India) Limited,Utilities
CYBERTECH,Cybertech Systems And Software Limited,Technology
CYIENT,Cyient Limited,RealEstate
CYIENTDLM,Cyient DLM Limited,Materials
DABUR,Dabur India Limited,Industrials
DALBHARAT,Dalmia Bharat Limited,Consumer Goods
DALMIASUG,Dalmia Bharat Sugar and Industries Limited,Telecommunications
DAMCAPITAL,Dam Capital Advisors Limited,Financial Services
DAMODARIND,Damodar Industries Limited,Financial Services
DANGEE,Dangee Dums Limited,Telecommunications
DATAMATICS,Datamatics Global Services Limited,Technology
DATAPATTNS,Data Patterns (India) Limited,Technology
DAVANGERE,Davangere Sugar Company Limited,Materials
DBCORP,D.B.Corp Limited,Consumer Goods
DBEIL,Deepak Builders & Engineers India Limited,RealEstate
DBL,Dilip Buildcon Limited,RealEstate
DBOL,Dhampur Bio Organics Limited,RealEstate
DBREALTY,Valor Estate Limited,RealEstate
DBSTOCKBRO,DB (International) Stock Brokers Limited,Healthcare
DCAL,Dishman Carbogen Amcis Limited,Materials
DCBBANK,DCB Bank Limited,Financial Services
DCI,Dc Infotech And Communication Limited,Technology
DCM,DCM  Limited,Healthcare
DCMFINSERV,DCM Financial Services Limited,Financial Services
DCMNVL,DCM Nouvelle Limited,Materials
DCMSHRIRAM,DCM Shriram Limited,Utilities
DCMSRIND,DCM Shriram Industries Limited,Financial Services
DCW,DCW Limited,Telecommunications
DCXINDIA,DCX Systems Limited,Technology
DDEVPLSTIK,Ddev Plastiks Industries Limited,Utilities
DECCANCE,Deccan Cements Limited,RealEstate
DEEDEV,DEE Development Engineers Limited,Utilities
DEEPAKFERT,Deepak Fertilizers and Petrochemicals Corporation Limited,Energy
DEEPAKNTR,Deepak Nitrite Limited,Industrials
DEEPINDS,Deep Industries Limited,RealEstate
DELHIVERY,Delhivery Limited,Materials
DELPHIFX,DELPHI WORLD MONEY LIMITED,Consumer Goods
DELTACORP,Delta Corp Limited,Healthcare
DELTAMAGNT,Delta Manufacturing Limited,Utilities
DEN,Den Networks Limited,Industrials
DENORA,De Nora India Limited,Industrials
DENTA,Denta Water and Infra Solutions Limited,Technology
DEVIT,Dev Information Technology Limited,Technology
DEVYANI,Devyani International Limited,Industrials
DGCONTENT,Digicontent Limited,Technology
DHAMPURSUG,Dhampur Sugar Mills Limited,Telecommunications
DHANBANK,Dhanlaxmi Bank Limited,Financial Services
DHANI,Dhani Services Limited,Telecommunications
DHANUKA,Dhanuka Agritech Limited,Technology
DHARMAJ,Dharmaj Crop Guard Limited,Materials
DHRUV,Dhruv Consultancy Services Limited,RealEstate
DHUNINV,Dhunseri Investments Limited,Energy
DIACABS,Diamond Power Infrastructure Limited,Energy
DIAMINESQ,Diamines & Chemicals Limited,RealEstate
DIAMONDYD,Prataap Snacks Limited,Healthcare
DICIND,DIC India Limited,RealEstate
DIFFNKG,Diffusion Engineers Limited,Healthcare
DIGIDRIVE,Digidrive Distributors Limited,Telecommunications
DIGISPICE,DiGiSPICE Technologies Limited,Technology
DIGJAMLMTD,Digjam Limited,Utilities
DIL,Debock Industries Limited,Technology
DISHTV,Dish TV India Limited,Industrials
DIVGIITTS,Divgi Torqtransfer Systems Limited,Technology
DIVISLAB,Divi's Laboratories Limited,Technology
DIXON,Dixon Technologies (India) Limited,Technology
DJML,DJ Mediaprint & Logistics Limited,Consumer Goods
DLF,DLF Limited,Materials
DLINKINDIA,D-Link (India) Limited,Materials
DMART,Avenue Supermarts Limited,Healthcare
DMCC,DMCC SPECIALITY CHEMICALS LIMITED,Technology
DNAMEDIA,Diligent Media Corporation Limited,Consumer Goods
DODLA,Dodla Dairy Limited,Financial Services
DOLATALGO,Dolat Algotech Limited,Technology
DOLLAR,Dollar Industries Limited,Healthcare
DOLPHIN,Dolphin Offshore Enterprises (India) Limited,Healthcare
DOMS,DOMS Industries Limited,Healthcare
DONEAR,Donear Industries Limited,Telecommunications
DPABHUSHAN,D. P. Abhushan Limited,RealEstate
DPSCLTD,DPSC Limited,Energy
DPWIRES,D P Wires Limited,Materials
DRCSYSTEMS,DRC Systems India Limited,Technology
DREAMFOLKS,Dreamfolks Services Limited,Energy
DREDGECORP,Dredging Corporation of India Limited,Utilities
DRREDDY,Dr. Reddy's Laboratories Limited,RealEstate
DSSL,Dynacons Systems & Solutions Limited,Technology
DTIL,Dhunseri Tea & Industries Limited,Industrials
DUCON,Ducon Infratechnologies Limited,Technology
DVL,Dhunseri Ventures Limited,Materials
DWARKESH,Dwarikesh Sugar Industries Limited,Financial Services
DYCL,Dynamic Cables Limited,Technology
DYNAMATECH,Dynamatic Technologies Limited,Technology
DYNPRO,Dynemic Products Limited,Utilities
E2E,E2E Networks Limited,Consumer Goods
EASEMYTRIP,Easy Trip Planners Limited,Utilities
ECLERX,eClerx Services Limited,Technology
ECOSMOBLTY,Ecos (India) Mobility & Hospitality Limited,Healthcare
EDELWEISS,Edelweiss Financial Services Limited,Financial Services
EICHERMOT,Eicher Motors Limited,RealEstate
EIDPARRY,EID Parry India Limited,Energy
EIEL,Enviro Infra Engineers Limited,RealEstate
EIFFL,Euro India Fresh Foods Limited,Consumer Goods
EIHAHOTELS,EIH Associated Hotels Limited,Consumer Goods
EIHOTEL,EIH Limited,Materials
EIMCOELECO,Eimco Elecon (India) Limited,Energy
EKC,Everest Kanto Cylinder Limited,Energy
ELDEHSG,Eldeco Housing And Industries Limited,RealEstate
ELECON,Elecon Engineering Company Limited,Telecommunications
ELECTCAST,Electrosteel Castings Limited,Materials
ELECTHERM,Electrotherm (India) Limited,RealEstate
ELGIEQUIP,Elgi Equipments Limited,Industrials
ELGIRUBCO,Elgi Rubber Company Limited,Materials
ELIN,Elin Electronics Limited,Technology
EMAMILTD,Emami Limited,RealEstate
EMAMIPAP,Emami Paper Mills Limited,Energy
EMAMIREAL,Emami Realty Limited,RealEstate
EMBDL,Embassy Developments Limited,Utilities
EMCURE,Emcure Pharmaceuticals Limited,Healthcare
EMIL,Electronics Mart India Limited,Technology
EMKAY,Emkay Global Financial Services Limited,Financial Services
EMMBI,Emmbi Industries Limited,Consumer Goods
EMSLIMITED,EMS Limited,RealEstate
EMUDHRA,eMudhra Limited,Healthcare
ENDURANCE,Endurance Technologies Limited,Technology
ENERGYDEV,Energy Development Company Limited,Energy
ENGINERSIN,Engineers India Limited,Financial Services
ENIL,Entertainment Network (India) Limited,Materials
ENTERO,Entero Healthcare Solutions Limited,Technology
EPACK,EPACK Durable Limited,RealEstate
EPIGRAL,Epigral Limited,Consumer Goods
EPL,EPL Limited,Industrials
EQUIPPP,Equippp Social Impact Technologies Limited,Technology
EQUITASBNK,Equitas Small Finance Bank Limited,Financial Services
ERIS,Eris Lifesciences Limited,Consumer Goods
ESABINDIA,Esab India Limited,Healthcare
ESAFSFB,ESAF Small Finance Bank Limited,Financial Services
